76038 silly lifecycle private@0.1.6~preinstall: no script for preinstall, continuing
80315 silly linkStuff lpad@1.0.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80316 verbose linkBins lpad@1.0.0
80317 verbose linkMans lpad@1.0.0
80318 silly build lpad@2.0.1
80319 info linkStuff lpad@2.0.1
80320 silly linkStuff lpad@2.0.1 has /Users/apple/Documents/project/web/node_modules/lpad-align/node_modules as its parent node_modules
80321 verbose linkBins lpad@2.0.1
80322 verbose linkMans lpad@2.0.1
80323 silly build lru-cache@2.7.3
80324 info linkStuff lru-cache@2.7.3
80325 silly linkStuff lru-cache@2.7.3 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80326 verbose linkBins lru-cache@2.7.3
80327 verbose linkMans lru-cache@2.7.3
80328 silly build map-obj@1.0.1
80329 info linkStuff map-obj@1.0.1
80330 silly linkStuff map-obj@1.0.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80331 verbose linkBins map-obj@1.0.1
80332 verbose linkMans map-obj@1.0.1
80333 silly build camelcase-keys@2.0.0
80334 info linkStuff camelcase-keys@2.0.0
80335 silly linkStuff camelcase-keys@2.0.0 has /Users/apple/Documents/project/web/node_modules/find-versions/node_modules as its parent node_modules
80336 verbose linkBins camelcase-keys@2.0.0
80337 verbose linkMans camelcase-keys@2.0.0
80338 silly build camelcase-keys@1.0.0
80339 info linkStuff camelcase-keys@1.0.0
80340 silly linkStuff camelcase-keys@1.0.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80341 verbose linkBins camelcase-keys@1.0.0
80342 verbose linkMans camelcase-keys@1.0.0
80343 silly build is-buffer@1.0.2
80344 info linkStuff is-buffer@1.0.2
80345 silly linkStuff is-buffer@1.0.2 has /Users/apple/Documents/project/web/node_modules/md5/node_modules as its parent node_modules
80346 verbose linkBins is-buffer@1.0.2
80347 verbose linkMans is-buffer@1.0.2
80348 silly build md5@2.0.0
80349 info linkStuff md5@2.0.0
80350 silly linkStuff md5@2.0.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80351 verbose linkBins md5@2.0.0
80352 verbose linkMans md5@2.0.0
80353 silly build kind-of@3.0.2
80354 info linkStuff kind-of@3.0.2
80355 silly linkStuff kind-of@3.0.2 has /Users/apple/Documents/project/web/node_modules/micromatch/node_modules as its parent node_modules
80356 verbose linkBins kind-of@3.0.2
80357 verbose linkMans kind-of@3.0.2
80358 silly build mime@1.2.4
80359 info linkStuff mime@1.2.4
80360 silly linkStuff mime@1.2.4 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80361 verbose linkBins mime@1.2.4
80362 verbose linkMans mime@1.2.4
80363 silly build mime-db@1.20.0
80364 info linkStuff mime-db@1.20.0
80365 silly linkStuff mime-db@1.20.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80366 verbose linkBins mime-db@1.20.0
80367 verbose linkMans mime-db@1.20.0
80368 silly build mime-types@2.1.8
80369 info linkStuff mime-types@2.1.8
80370 silly linkStuff mime-types@2.1.8 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80371 verbose linkBins mime-types@2.1.8
80372 verbose linkMans mime-types@2.1.8
80373 silly build form-data@1.0.0-rc3
80374 info linkStuff form-data@1.0.0-rc3
80375 silly linkStuff form-data@1.0.0-rc3 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80376 verbose linkBins form-data@1.0.0-rc3
80377 verbose linkMans form-data@1.0.0-rc3
80378 silly build minimist@1.2.0
80379 info linkStuff minimist@1.2.0
80380 silly linkStuff minimist@1.2.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80381 verbose linkBins minimist@1.2.0
80382 verbose linkMans minimist@1.2.0
80383 silly build minimist@0.0.8
80384 info linkStuff minimist@0.0.8
80385 silly linkStuff minimist@0.0.8 has /Users/apple/Documents/project/web/node_modules/mkdirp/node_modules as its parent node_modules
80386 verbose linkBins minimist@0.0.8
80387 verbose linkMans minimist@0.0.8
80388 silly build mkdirp@0.5.1
80389 info linkStuff mkdirp@0.5.1
80390 silly linkStuff mkdirp@0.5.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80391 verbose linkBins mkdirp@0.5.1
80392 verbose link bins [ { mkdirp: 'bin/cmd.js' },
80392 verbose link bins   '/Users/apple/Documents/project/web/node_modules/.bin',
80392 verbose link bins   false ]
80393 verbose linkMans mkdirp@0.5.1
80394 silly gentlyRm /Users/apple/Documents/project/web/node_modules/.bin/mkdirp is being purged
80395 verbose gentlyRm don't care about contents; nuking /Users/apple/Documents/project/web/node_modules/.bin/mkdirp
80396 silly build commander@2.3.0
80397 info linkStuff commander@2.3.0
80398 silly linkStuff commander@2.3.0 has /Users/apple/Documents/project/web/node_modules/mocha/node_modules as its parent node_modules
80399 verbose linkBins commander@2.3.0
80400 verbose linkMans commander@2.3.0
80401 silly build escape-string-regexp@1.0.2
80402 info linkStuff escape-string-regexp@1.0.2
80403 silly linkStuff escape-string-regexp@1.0.2 has /Users/apple/Documents/project/web/node_modules/mocha/node_modules as its parent node_modules
80404 verbose linkBins escape-string-regexp@1.0.2
80405 verbose linkMans escape-string-regexp@1.0.2
80406 silly build graceful-fs@2.0.3
80407 info linkStuff graceful-fs@2.0.3
80408 silly linkStuff graceful-fs@2.0.3 has /Users/apple/Documents/project/web/node_modules/mocha/node_modules as its parent node_modules
80409 verbose linkBins graceful-fs@2.0.3
80410 verbose linkMans graceful-fs@2.0.3
80411 silly build minimist@0.0.8
80412 info linkStuff minimist@0.0.8
80413 silly linkStuff minimist@0.0.8 has /Users/apple/Documents/project/web/node_modules/mocha/node_modules as its parent node_modules
80414 verbose linkBins minimist@0.0.8
80415 verbose linkMans minimist@0.0.8
80416 silly build mkdirp@0.5.0
80417 info linkStuff mkdirp@0.5.0
80418 silly linkStuff mkdirp@0.5.0 has /Users/apple/Documents/project/web/node_modules/mocha/node_modules as its parent node_modules
80419 verbose linkBins mkdirp@0.5.0
80420 verbose link bins [ { mkdirp: 'bin/cmd.js' },
80420 verbose link bins   '/Users/apple/Documents/project/web/node_modules/mocha/node_modules/.bin',
80420 verbose link bins   false ]
80421 verbose linkMans mkdirp@0.5.0
80422 silly gentlyRm /Users/apple/Documents/project/web/node_modules/mocha/node_modules/.bin/mkdirp is being purged
80423 verbose gentlyRm don't care about contents; nuking /Users/apple/Documents/project/web/node_modules/mocha/node_modules/.bin/mkdirp
80424 silly build ms@0.6.2
80425 info linkStuff ms@0.6.2
80426 silly linkStuff ms@0.6.2 has /Users/apple/Documents/project/web/node_modules/mocha/node_modules as its parent node_modules
80427 verbose linkBins ms@0.6.2
80428 verbose linkMans ms@0.6.2
80429 silly build debug@2.0.0
80430 info linkStuff debug@2.0.0
80431 silly linkStuff debug@2.0.0 has /Users/apple/Documents/project/web/node_modules/mocha/node_modules as its parent node_modules
80432 verbose linkBins debug@2.0.0
80433 verbose linkMans debug@2.0.0
80434 silly build mout@0.9.1
80435 info linkStuff mout@0.9.1
80436 silly linkStuff mout@0.9.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80437 verbose linkBins mout@0.9.1
80438 verbose linkMans mout@0.9.1
80439 silly build ms@0.7.1
80440 info linkStuff ms@0.7.1
80441 silly linkStuff ms@0.7.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80442 verbose linkBins ms@0.7.1
80443 verbose linkMans ms@0.7.1
80444 silly build debug@2.2.0
80445 info linkStuff debug@2.2.0
80446 silly linkStuff debug@2.2.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80447 verbose linkBins debug@2.2.0
80448 verbose linkMans debug@2.2.0
80449 silly build mute-stream@0.0.5
80450 info linkStuff mute-stream@0.0.5
80451 silly linkStuff mute-stream@0.0.5 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80452 verbose linkBins mute-stream@0.0.5
80453 verbose linkMans mute-stream@0.0.5
80454 silly build nan@2.1.0
80455 info linkStuff nan@2.1.0
80456 silly linkStuff nan@2.1.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80457 verbose linkBins nan@2.1.0
80458 verbose linkMans nan@2.1.0
80459 silly build fsevents@1.0.6
80460 info linkStuff fsevents@1.0.6
80461 silly linkStuff fsevents@1.0.6 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80462 verbose linkBins fsevents@1.0.6
80463 verbose linkMans fsevents@1.0.6
80464 silly build bufferutil@1.2.1
80465 info linkStuff bufferutil@1.2.1
80466 silly linkStuff bufferutil@1.2.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80467 verbose linkBins bufferutil@1.2.1
80468 verbose linkMans bufferutil@1.2.1
80469 silly build negotiator@0.5.3
80470 info linkStuff negotiator@0.5.3
80471 silly linkStuff negotiator@0.5.3 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80472 verbose linkBins negotiator@0.5.3
80473 verbose linkMans negotiator@0.5.3
80474 silly build accepts@1.2.13
80475 info linkStuff accepts@1.2.13
80476 silly linkStuff accepts@1.2.13 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80477 verbose linkBins accepts@1.2.13
80478 verbose linkMans accepts@1.2.13
80479 silly build node-status-codes@1.0.0
80480 info linkStuff node-status-codes@1.0.0
80481 silly linkStuff node-status-codes@1.0.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80482 verbose linkBins node-status-codes@1.0.0
80483 verbose linkMans node-status-codes@1.0.0
80484 silly build node-uuid@1.4.7
80485 info linkStuff node-uuid@1.4.7
80486 silly linkStuff node-uuid@1.4.7 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80487 verbose linkBins node-uuid@1.4.7
80488 verbose link bins [ { uuid: './bin/uuid' },
80488 verbose link bins   '/Users/apple/Documents/project/web/node_modules/.bin',
80488 verbose link bins   false ]
80489 verbose linkMans node-uuid@1.4.7
80490 silly gentlyRm /Users/apple/Documents/project/web/node_modules/.bin/uuid is being purged
80491 verbose gentlyRm don't care about contents; nuking /Users/apple/Documents/project/web/node_modules/.bin/uuid
80492 silly build request@2.27.0
80493 info linkStuff request@2.27.0
80494 silly linkStuff request@2.27.0 has /Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules as its parent node_modules
80495 verbose linkBins request@2.27.0
80496 verbose linkMans request@2.27.0
80497 silly build nopt@1.0.10
80498 info linkStuff nopt@1.0.10
80499 silly linkStuff nopt@1.0.10 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80500 verbose linkBins nopt@1.0.10
80501 verbose link bins [ { nopt: './bin/nopt.js' },
80501 verbose link bins   '/Users/apple/Documents/project/web/node_modules/.bin',
80501 verbose link bins   false ]
80502 verbose linkMans nopt@1.0.10
80503 silly gentlyRm /Users/apple/Documents/project/web/node_modules/.bin/nopt is being purged
80504 verbose gentlyRm don't care about contents; nuking /Users/apple/Documents/project/web/node_modules/.bin/nopt
80505 silly build nopt@2.0.0
80506 info linkStuff nopt@2.0.0
80507 silly linkStuff nopt@2.0.0 has /Users/apple/Documents/project/web/node_modules/noptify/node_modules as its parent node_modules
80508 verbose linkBins nopt@2.0.0
80509 verbose link bins [ { nopt: './bin/nopt.js' },
80509 verbose link bins   '/Users/apple/Documents/project/web/node_modules/noptify/node_modules/.bin',
80509 verbose link bins   false ]
80510 verbose linkMans nopt@2.0.0
80511 silly gentlyRm /Users/apple/Documents/project/web/node_modules/noptify/node_modules/.bin/nopt is being purged
80512 verbose gentlyRm don't care about contents; nuking /Users/apple/Documents/project/web/node_modules/noptify/node_modules/.bin/nopt
80513 silly build noptify@0.0.3
80514 info linkStuff noptify@0.0.3
80515 silly linkStuff noptify@0.0.3 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80516 verbose linkBins noptify@0.0.3
80517 verbose linkMans noptify@0.0.3
80518 silly build normalize-path@2.0.1
80519 info linkStuff normalize-path@2.0.1
80520 silly linkStuff normalize-path@2.0.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80521 verbose linkBins normalize-path@2.0.1
80522 verbose linkMans normalize-path@2.0.1
80523 silly build normalize-range@0.1.2
80524 info linkStuff normalize-range@0.1.2
80525 silly linkStuff normalize-range@0.1.2 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80526 verbose linkBins normalize-range@0.1.2
80527 verbose linkMans normalize-range@0.1.2
80528 silly build nopt@3.0.6
80529 info linkStuff nopt@3.0.6
80530 silly linkStuff nopt@3.0.6 has /Users/apple/Documents/project/web/node_modules/npmconf/node_modules as its parent node_modules
80531 verbose linkBins nopt@3.0.6
80532 verbose link bins [ { nopt: './bin/nopt.js' },
80532 verbose link bins   '/Users/apple/Documents/project/web/node_modules/npmconf/node_modules/.bin',
80532 verbose link bins   false ]
80533 verbose linkMans nopt@3.0.6
80534 silly gentlyRm /Users/apple/Documents/project/web/node_modules/npmconf/node_modules/.bin/nopt is being purged
80535 verbose gentlyRm don't care about contents; nuking /Users/apple/Documents/project/web/node_modules/npmconf/node_modules/.bin/nopt
80536 silly build num2fraction@1.2.2
80537 info linkStuff num2fraction@1.2.2
80538 silly linkStuff num2fraction@1.2.2 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80539 verbose linkBins num2fraction@1.2.2
80540 verbose linkMans num2fraction@1.2.2
80541 silly build number-is-nan@1.0.0
80542 info linkStuff number-is-nan@1.0.0
80543 silly linkStuff number-is-nan@1.0.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80544 verbose linkBins number-is-nan@1.0.0
80545 verbose linkMans number-is-nan@1.0.0
80546 silly build is-fullwidth-code-point@1.0.0
80547 info linkStuff is-fullwidth-code-point@1.0.0
80548 silly linkStuff is-fullwidth-code-point@1.0.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80549 verbose linkBins is-fullwidth-code-point@1.0.0
80550 verbose linkMans is-fullwidth-code-point@1.0.0
80551 silly build is-finite@1.0.1
80552 info linkStuff is-finite@1.0.1
80553 silly linkStuff is-finite@1.0.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80554 verbose linkBins is-finite@1.0.1
80555 verbose linkMans is-finite@1.0.1
80556 silly build is-integer@1.0.6
80557 info linkStuff is-integer@1.0.6
80558 silly linkStuff is-integer@1.0.6 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80559 verbose linkBins is-integer@1.0.6
80560 verbose linkMans is-integer@1.0.6
80561 silly build code-point-at@1.0.0
80562 info linkStuff code-point-at@1.0.0
80563 silly linkStuff code-point-at@1.0.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80564 verbose linkBins code-point-at@1.0.0
80565 verbose linkMans code-point-at@1.0.0
80566 silly build oauth-sign@0.8.0
80567 info linkStuff oauth-sign@0.8.0
80568 silly linkStuff oauth-sign@0.8.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80569 verbose linkBins oauth-sign@0.8.0
80570 verbose linkMans oauth-sign@0.8.0
80571 silly build object-assign@3.0.0
80572 info linkStuff object-assign@3.0.0
80573 silly linkStuff object-assign@3.0.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80574 verbose linkBins object-assign@3.0.0
80575 verbose linkMans object-assign@3.0.0
80576 silly build object-component@0.0.3
80577 info linkStuff object-component@0.0.3
80578 silly linkStuff object-component@0.0.3 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80579 verbose linkBins object-component@0.0.3
80580 verbose linkMans object-component@0.0.3
80581 silly build object-keys@1.0.1
80582 info linkStuff object-keys@1.0.1
80583 silly linkStuff object-keys@1.0.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80584 verbose linkBins object-keys@1.0.1
80585 verbose linkMans object-keys@1.0.1
80586 silly build object-path@0.9.2
80587 info linkStuff object-path@0.9.2
80588 silly linkStuff object-path@0.9.2 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80589 verbose linkBins object-path@0.9.2
80590 verbose linkMans object-path@0.9.2
80591 silly build object.omit@2.0.0
80592 info linkStuff object.omit@2.0.0
80593 silly linkStuff object.omit@2.0.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80594 verbose linkBins object.omit@2.0.0
80595 verbose linkMans object.omit@2.0.0
80596 silly build on-finished@2.3.0
80597 info linkStuff on-finished@2.3.0
80598 silly linkStuff on-finished@2.3.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80599 verbose linkBins on-finished@2.3.0
80600 verbose linkMans on-finished@2.3.0
80601 silly build onetime@1.1.0
80602 info linkStuff onetime@1.1.0
80603 silly linkStuff onetime@1.1.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80604 verbose linkBins onetime@1.1.0
80605 verbose linkMans onetime@1.1.0
80606 silly build openurl@1.1.0
80607 info linkStuff openurl@1.1.0
80608 silly linkStuff openurl@1.1.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80609 verbose linkBins openurl@1.1.0
80610 verbose linkMans openurl@1.1.0
80611 silly build object-assign@4.0.1
80612 info linkStuff object-assign@4.0.1
80613 silly linkStuff object-assign@4.0.1 has /Users/apple/Documents/project/web/node_modules/opn/node_modules as its parent node_modules
80614 verbose linkBins object-assign@4.0.1
80615 verbose linkMans object-assign@4.0.1
80616 silly build opn@3.0.3
80617 info linkStuff opn@3.0.3
80618 silly linkStuff opn@3.0.3 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80619 verbose linkBins opn@3.0.3
80620 verbose linkMans opn@3.0.3
80621 silly build lodash@3.10.1
80622 info linkStuff lodash@3.10.1
80623 silly linkStuff lodash@3.10.1 has /Users/apple/Documents/project/web/node_modules/opt-merger/node_modules as its parent node_modules
80624 verbose linkBins lodash@3.10.1
80625 verbose linkMans lodash@3.10.1
80626 silly build opt-merger@1.1.1
80627 info linkStuff opt-merger@1.1.1
80628 silly linkStuff opt-merger@1.1.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80629 verbose linkBins opt-merger@1.1.1
80630 verbose linkMans opt-merger@1.1.1
80631 silly build minimist@0.0.10
80632 info linkStuff minimist@0.0.10
80633 silly linkStuff minimist@0.0.10 has /Users/apple/Documents/project/web/node_modules/optimist/node_modules as its parent node_modules
80634 verbose linkBins minimist@0.0.10
80635 verbose linkMans minimist@0.0.10
80636 silly build optional@0.1.3
80637 info linkStuff optional@0.1.3
80638 silly linkStuff optional@0.1.3 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80639 verbose linkBins optional@0.1.3
80640 verbose linkMans optional@0.1.3
80641 silly build options@0.0.6
80642 info linkStuff options@0.0.6
80643 silly linkStuff options@0.0.6 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80644 verbose linkBins options@0.0.6
80645 verbose linkMans options@0.0.6
80646 silly build os-filter-obj@1.0.3
80647 info linkStuff os-filter-obj@1.0.3
80648 silly linkStuff os-filter-obj@1.0.3 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80649 verbose linkBins os-filter-obj@1.0.3
80650 verbose linkMans os-filter-obj@1.0.3
80651 silly build os-homedir@1.0.1
80652 info linkStuff os-homedir@1.0.1
80653 silly linkStuff os-homedir@1.0.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80654 verbose linkBins os-homedir@1.0.1
80655 verbose linkMans os-homedir@1.0.1
80656 silly build user-home@2.0.0
80657 info linkStuff user-home@2.0.0
80658 silly linkStuff user-home@2.0.0 has /Users/apple/Documents/project/web/node_modules/eslint/node_modules as its parent node_modules
80659 verbose linkBins user-home@2.0.0
80660 verbose linkMans user-home@2.0.0
80661 silly build os-locale@1.4.0
80662 info linkStuff os-locale@1.4.0
80663 silly linkStuff os-locale@1.4.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80664 verbose linkBins os-locale@1.4.0
80665 verbose linkMans os-locale@1.4.0
80666 silly build os-tmpdir@1.0.1
80667 info linkStuff os-tmpdir@1.0.1
80668 silly linkStuff os-tmpdir@1.0.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80669 verbose linkBins os-tmpdir@1.0.1
80670 verbose linkMans os-tmpdir@1.0.1
80671 silly build osenv@0.1.3
80672 info linkStuff osenv@0.1.3
80673 silly linkStuff osenv@0.1.3 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80674 verbose linkBins osenv@0.1.3
80675 verbose linkMans osenv@0.1.3
80676 silly build package@1.0.1
80677 info linkStuff package@1.0.1
80678 silly linkStuff package@1.0.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80679 verbose linkBins package@1.0.1
80680 verbose linkMans package@1.0.1
80681 silly build pad-stdio@1.0.0
80682 info linkStuff pad-stdio@1.0.0
80683 silly linkStuff pad-stdio@1.0.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80684 verbose linkBins pad-stdio@1.0.0
80685 verbose linkMans pad-stdio@1.0.0
80686 silly build grunt-concurrent@1.0.1
80687 info linkStuff grunt-concurrent@1.0.1
80688 silly linkStuff grunt-concurrent@1.0.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80689 verbose linkBins grunt-concurrent@1.0.1
80690 verbose linkMans grunt-concurrent@1.0.1
80691 silly build pako@0.2.8
80692 info linkStuff pako@0.2.8
80693 silly linkStuff pako@0.2.8 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80694 verbose linkBins pako@0.2.8
80695 verbose linkMans pako@0.2.8
80696 silly build browserify-zlib@0.1.4
80697 info linkStuff browserify-zlib@0.1.4
80698 silly linkStuff browserify-zlib@0.1.4 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80699 verbose linkBins browserify-zlib@0.1.4
80700 verbose linkMans browserify-zlib@0.1.4
80701 silly build parse-glob@3.0.4
80702 info linkStuff parse-glob@3.0.4
80703 silly linkStuff parse-glob@3.0.4 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80704 verbose linkBins parse-glob@3.0.4
80705 verbose linkMans parse-glob@3.0.4
80706 silly build parse-json@2.2.0
80707 info linkStuff parse-json@2.2.0
80708 silly linkStuff parse-json@2.2.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80709 verbose linkBins parse-json@2.2.0
80710 verbose linkMans parse-json@2.2.0
80711 silly build parse-ms@1.0.0
80712 info linkStuff parse-ms@1.0.0
80713 silly linkStuff parse-ms@1.0.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80714 verbose linkBins parse-ms@1.0.0
80715 verbose linkMans parse-ms@1.0.0
80716 silly build parsejson@0.0.1
80717 info linkStuff parsejson@0.0.1
80718 silly linkStuff parsejson@0.0.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80719 verbose linkBins parsejson@0.0.1
80720 verbose linkMans parsejson@0.0.1
80721 silly build parseqs@0.0.2
80722 info linkStuff parseqs@0.0.2
80723 silly linkStuff parseqs@0.0.2 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80724 verbose linkBins parseqs@0.0.2
80725 verbose linkMans parseqs@0.0.2
80726 silly build parseuri@0.0.2
80727 info linkStuff parseuri@0.0.2
80728 silly linkStuff parseuri@0.0.2 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80729 verbose linkBins parseuri@0.0.2
80730 verbose linkMans parseuri@0.0.2
80731 silly build parseurl@1.3.0
80732 info linkStuff parseurl@1.3.0
80733 silly linkStuff parseurl@1.3.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80734 verbose linkBins parseurl@1.3.0
80735 verbose linkMans parseurl@1.3.0
80736 silly build path-exists@1.0.0
80737 info linkStuff path-exists@1.0.0
80738 silly linkStuff path-exists@1.0.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80739 verbose linkBins path-exists@1.0.0
80740 verbose linkMans path-exists@1.0.0
80741 silly build path-is-absolute@1.0.0
80742 info linkStuff path-is-absolute@1.0.0
80743 silly linkStuff path-is-absolute@1.0.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80744 verbose linkBins path-is-absolute@1.0.0
80745 verbose linkMans path-is-absolute@1.0.0
80746 silly build path-is-inside@1.0.1
80747 info linkStuff path-is-inside@1.0.1
80748 silly linkStuff path-is-inside@1.0.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80749 verbose linkBins path-is-inside@1.0.1
80750 verbose linkMans path-is-inside@1.0.1
80751 silly build is-path-inside@1.0.0
80752 info linkStuff is-path-inside@1.0.0
80753 silly linkStuff is-path-inside@1.0.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80754 verbose linkBins is-path-inside@1.0.0
80755 verbose linkMans is-path-inside@1.0.0
80756 silly build is-path-in-cwd@1.0.0
80757 info linkStuff is-path-in-cwd@1.0.0
80758 silly linkStuff is-path-in-cwd@1.0.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80759 verbose linkBins is-path-in-cwd@1.0.0
80760 verbose linkMans is-path-in-cwd@1.0.0
80761 silly build graceful-fs@4.1.2
80762 info linkStuff graceful-fs@4.1.2
80763 silly linkStuff graceful-fs@4.1.2 has /Users/apple/Documents/project/web/node_modules/path-type/node_modules as its parent node_modules
80764 verbose linkBins graceful-fs@4.1.2
80765 verbose linkMans graceful-fs@4.1.2
80766 silly build pend@1.2.0
80767 info linkStuff pend@1.2.0
80768 silly linkStuff pend@1.2.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80769 verbose linkBins pend@1.2.0
80770 verbose linkMans pend@1.2.0
80771 silly build fd-slicer@1.0.1
80772 info linkStuff fd-slicer@1.0.1
80773 silly linkStuff fd-slicer@1.0.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
80774 verbose linkBins fd-slicer@1.0.1
80775 verbose linkMans fd-slicer@1.0.1
80776 silly build async@0.9.2
80777 info linkStuff async@0.9.2
80778 silly linkStuff async@0.9.2 has /Users/apple/Documents/project/web/node_modules/phantomjs/node_modules as its parent node_modules
80779 verbose linkBins async@0.9.2
80780 verbose linkMans async@0.9.2
80781 silly build aws-sign2@0.5.0
80782 info linkStuff aws-sign2@0.5.0
80783 silly linkStuff aws-sign2@0.5.0 has /Users/apple/Documents/project/web/node_modules/phantomjs/node_modules as its parent node_modules
80784 verbose linkBins aws-sign2@0.5.0
80785 verbose linkMans aws-sign2@0.5.0
80786 silly build caseless@0.6.0
80787 info linkStuff caseless@0.6.0
80788 silly linkStuff caseless@0.6.0 has /Users/apple/Documents/project/web/node_modules/phantomjs/node_modules as its parent node_modules
80789 verbose linkBins caseless@0.6.0
80790 verbose linkMans caseless@0.6.0
80791 silly build delayed-stream@0.0.5
80792 info linkStuff delayed-stream@0.0.5
80793 silly linkStuff delayed-stream@0.0.5 has /Users/apple/Documents/project/web/node_modules/phantomjs/node_modules as its parent node_modules
80794 verbose linkBins delayed-stream@0.0.5
80795 verbose linkMans delayed-stream@0.0.5
80796 silly build combined-stream@0.0.7
80797 info linkStuff combined-stream@0.0.7
80798 silly linkStuff combined-stream@0.0.7 has /Users/apple/Documents/project/web/node_modules/phantomjs/node_modules as its parent node_modules
80799 verbose linkBins combined-stream@0.0.7
80800 verbose linkMans combined-stream@0.0.7
80801 silly build forever-agent@0.5.2
80802 info linkStuff forever-agent@0.5.2
80803 silly linkStuff forever-agent@0.5.2 has /Users/apple/Documents/project/web/node_modules/phantomjs/node_modules as its parent node_modules
80804 verbose linkBins forever-agent@0.5.2
80805 verbose linkMans forever-agent@0.5.2
80806 silly build graceful-fs@4.1.2
80807 info linkStuff graceful-fs@4.1.2
80808 silly linkStuff graceful-fs@4.1.2 has /Users/apple/Documents/project/web/node_modules/phantomjs/node_modules as its parent node_modules
80809 verbose linkBins graceful-fs@4.1.2
80810 verbose linkMans graceful-fs@4.1.2
80811 silly build hoek@0.9.1
80812 info linkStuff hoek@0.9.1
80813 silly linkStuff hoek@0.9.1 has /Users/apple/Documents/project/web/node_modules/phantomjs/node_modules as its parent node_modules
